Fecha,Hora,Place,humedad_suelo,humedad_amb,temperatura
27 02 23,12:04:04,cuarto,70.76876%,26%,23C
27 02 23,12:04:12,sala,47%,38.60%,23.10C
27 02 23,12:04:12,cuarto,70.76876%,26%,23C
27 02 23,12:04:19,sala,47%,38.70%,23.20C
27 02 23,12:04:19,cuarto,70.47356%,26%,23C
27 02 23,12:04:26,sala,47%,38.60%,23.10C
27 02 23,12:04:26,cuarto,70.67036%,26%,23C
27 02 23,12:04:33,sala,47%,38.60%,23.20C
27 02 23,12:04:33,cuarto,70.57195%,26%,23C
27 02 23,12:04:41,sala,47%,38.50%,23.10C
27 02 23,12:04:41,cuarto,71.26077%,26%,23C
27 02 23,12:04:48,sala,47%,38.50%,23.10C
27 02 23,12:04:48,cuarto,70.81796%,26%,23C
27 02 23,12:05:02,sala,47%,38.50%,23.20C
27 02 23,12:05:02,cuarto,70.81796%,26%,23C
27 02 23,12:05:17,sala,47%,38.60%,23.20C
27 02 23,12:05:17,ao7.15%6,3,curto7436%6,2
27 02 23,12:05:46,sala,47%,38.30%,23.20C
27 02 23,12:05:46,cuarto,70.81796%,25%,23C
27 02 23,12:05:53,sala,47%,38.40%,23.20C
27 02 23,12:05:53,cuarto,70.81796%,25%,23C
27 02 23,12:06:01,sala,47%,38.30%,23.20C
27 02 23,12:06:01,cuarto,70.52276%,25%,23C
27 02 23,12:06:08,sala,47%,38.30%,23.10C
27 02 23,12:06:08,cuarto,70.67036%,25%,23C
27 02 23,12:06:22,sala,47%,38.20%,23.10C
27 02 23,12:06:22,cuarto,70.37515%,24%,23C
27 02 23,12:06:30,sala,47%,38.20%,23.10C
27 02 23,12:06:30,cuarto,71.06396%,24%,23C
27 02 23,12:06:37,sala,47%,38.30%,23.20C
27 02 23,12:06:37,cuarto,70.76876%,24%,23C
27 02 23,12:06:44,sala,47%,38.20%,23.20C
27 02 23,12:06:44,cuarto,70.81796%,24%,23C
27 02 23,12:06:52,sala,47%,38.20%,23.20C
27 02 23,12:06:52,cuarto,70.52276%,24%,23C
27 02 23,12:07:06,sala,47%,38.10%,23.20C
27 02 23,12:07:06,cuarto,70.81796%,25%,23C
27 02 23,12:07:13,sala,47%,38.20%,23.10C
27 02 23,12:07:13,cuarto,70.76876%,25%,23C
27 02 23,12:07:21,sala,47%,38.10%,23.10C
27 02 23,12:07:21,cuarto,70.27676%,25%,23C
27 02 23,12:07:28,sala,47%,38.20%,23.20C
27 02 23,12:07:28,cuarto,70.71956%,25%,23C
27 02 23,12:07:35,sala,47%,38.20%,23.20C
27 02 23,12:07:35,cuarto,70.12915%,26%,23C
27 02 23,12:07:43,sala,47%,38.20%,23.20C
27 02 23,12:07:43,cuarto,70.37515%,26%,23C
27 02 23,12:07:50,sala,47%,38.30%,23.20C
27 02 23,12:07:50,cuarto,70.81796%,26%,23C
27 02 23,12:07:57,sala,47%,38.50%,23.20C
27 02 23,12:07:57,cuarto,70.57195%,25%,23C
27 02 23,12:08:04,sala,47%,38.60%,23.20C
27 02 23,12:08:04,cuarto,70.81796%,25%,23C
27 02 23,12:08:12,sala,47%,39.10%,23.20C
27 02 23,12:08:12,cuarto,70.76876%,25%,23C
27 02 23,12:08:19,sala,47%,39.00%,23.20C
27 02 23,12:08:19,cuarto,70.81796%,25%,23C
27 02 23,12:08:26,sala,47%,38.80%,23.20C
27 02 23,12:08:26,cuarto,70.37515%,25%,23C
27 02 23,12:08:33,sala,47%,38.70%,23.20C
27 02 23,12:08:33,cuarto,70.81796%,25%,23C
27 02 23,12:08:41,sala,47%,38.60%,23.20C
27 02 23,12:08:41,cuarto,70.81796%,25%,23C
27 02 23,12:08:48,sala,47%,38.60%,23.20C
27 02 23,12:08:48,cuarto,70.71956%,26%,23C
27 02 23,12:08:55,sala,47%,38.60%,23.20C
27 02 23,12:08:55,cuarto,70.57195%,26%,23C
27 02 23,12:09:03,sala,47%,38.60%,23.20C
27 02 23,12:09:03,cuarto,70.67036%,26%,23C
27 02 23,12:09:10,sala,47%,38.60%,23.20C
27 02 23,12:09:10,cuarto,70.37515%,26%,23C
27 02 23,12:09:17,sala,47%,38.50%,23.20C
27 02 23,12:09:17,cuarto,70.57195%,26%,23C
27 02 23,12:09:24,sala,47%,38.60%,23.10C
27 02 23,12:09:24,cuarto,70.71956%,25%,23C
27 02 23,12:09:32,sala,47%,38.90%,23.20C
27 02 23,12:09:32,cuarto,70.81796%,25%,23C
27 02 23,12:09:39,sala,47%,38.70%,23.20C
27 02 23,12:09:39,cuarto,70.67036%,24%,23C
27 02 23,12:09:46,sala,47%,38.50%,23.20C
27 02 23,12:09:46,cuarto,70.67036%,25%,23C
27 02 23,12:09:53,sala,47%,38.30%,23.20C
27 02 23,12:09:53,cuarto,70.71956%,25%,23C
27 02 23,12:10:01,sala,47%,38.30%,23.20C
27 02 23,12:10:01,cuarto,70.17835%,25%,23C
27 02 23,12:10:30,sala,47%,38.10%,23.20C
27 02 23,12:10:30,caro7.616,5,3,ao7093%2%2C
27 02 23,12:10:37,sala,47%,38.10%,23.20C
27 02 23,12:10:37,cuarto,70.57195%,26%,23C
27 02 23,12:10:44,sala,47%,38.10%,23.20C
27 02 23,12:10:44,cuarto,70.71956%,26%,23C
27 02 23,12:10:52,sala,47%,38.10%,23.20C
27 02 23,12:10:52,cuarto,70.81796%,26%,23C
27 02 23,12:10:59,sala,47%,38.10%,23.20C
27 02 23,12:10:59,cuarto,70.67036%,25%,23C
27 02 23,12:11:06,sala,47%,38.10%,23.20C
27 02 23,12:11:06,cuarto,70.12915%,25%,23C
27 02 23,12:11:14,sala,47%,38.10%,23.20C
27 02 23,12:11:14,cuarto,70.81796%,25%,23C
27 02 23,12:11:21,sala,47%,38.10%,23.20C
27 02 23,12:11:21,cuarto,70.52276%,25%,23C
27 02 23,12:11:28,sala,47%,38.10%,23.20C
27 02 23,12:11:28,cuarto,70.81796%,25%,23C
27 02 23,12:11:35,sala,47%,38.00%,23.20C
27 02 23,12:11:35,cuarto,70.81796%,25%,23C
27 02 23,12:11:43,sala,47%,38.00%,23.20C
27 02 23,12:11:43,cuarto,70.37515%,25%,23C
27 02 23,12:11:50,sala,47%,38.00%,23.20C
27 02 23,12:11:50,cuarto,70.81796%,25%,23C
27 02 23,12:11:57,sala,47%,38.00%,23.20C
27 02 23,12:11:57,cuarto,70.76876%,25%,23C
27 02 23,12:12:04,sala,47%,38.10%,23.20C
27 02 23,12:12:04,cuarto,70.86716%,26%,23C
27 02 23,12:12:12,sala,47%,38.20%,23.20C
27 02 23,12:12:12,cuarto,70.71956%,26%,23C
27 02 23,12:12:19,sala,47%,38.20%,23.10C
27 02 23,12:12:19,cuarto,70.52276%,26%,23C
27 02 23,12:12:26,sala,47%,38.20%,23.20C
27 02 23,12:12:26,cuarto,70.86716%,25%,23C
27 02 23,12:12:34,sala,47%,38.20%,23.20C
27 02 23,12:12:34,cuarto,70.67036%,25%,23C
27 02 23,12:12:41,sala,47%,38.10%,23.20C
27 02 23,12:12:41,cuarto,70.42436%,25%,23C
27 02 23,12:12:48,sala,47%,38.10%,23.10C
27 02 23,12:12:48,cuarto,70.47356%,25%,23C
27 02 23,12:12:55,sala,47%,38.10%,23.10C
27 02 23,12:12:55,cuarto,70.47356%,25%,23C
27 02 23,12:13:03,sala,47%,38.10%,23.20C
27 02 23,12:13:03,cuarto,70.81796%,25%,23C
27 02 23,12:13:10,sala,47%,38.10%,23.20C
27 02 23,12:13:10,cuarto,70.47356%,25%,23C
27 02 23,12:13:17,sala,47%,38.10%,23.20C
27 02 23,12:13:17,cuarto,70.76876%,25%,23C
27 02 23,12:13:24,sala,47%,38.10%,23.20C
27 02 23,12:13:24,cuarto,70.81796%,24%,23C
27 02 23,12:13:32,sala,47%,38.00%,23.20C
27 02 23,12:13:32,cuarto,70.81796%,25%,23C
27 02 23,12:13:39,sala,47%,38.00%,23.20C
27 02 23,12:13:39,cuarto,70.81796%,25%,23C
27 02 23,12:13:46,sala,47%,38.00%,23.20C
27 02 23,12:13:46,cuarto,70.27676%,25%,23C
27 02 23,12:13:54,sala,47%,38.00%,23.20C
27 02 23,12:13:54,cuarto,70.37515%,25%,23C
27 02 23,12:14:01,sala,47%,38.00%,23.20C
27 02 23,12:14:01,cuarto,70.57195%,25%,23C
27 02 23,12:14:08,sala,47%,38.00%,23.20C
27 02 23,12:14:08,cuarto,70.67036%,25%,23C
27 02 23,12:14:15,sala,47%,38.00%,23.20C
27 02 23,12:14:15,cuarto,70.52276%,26%,23C
27 02 23,12:14:23,sala,47%,38.00%,23.20C
27 02 23,12:14:23,cuarto,70.17835%,25%,23C
27 02 23,12:14:30,sala,47%,38.10%,23.20C
27 02 23,12:14:30,cuarto,70.37515%,25%,23C
27 02 23,12:14:37,sala,47%,38.20%,23.20C
27 02 23,12:14:37,cuarto,70.67036%,25%,23C
27 02 23,12:14:44,sala,47%,38.30%,23.20C
27 02 23,12:14:44,cuarto,70.91636%,25%,23C
27 02 23,12:14:52,sala,47%,38.30%,23.20C
27 02 23,12:14:52,cuarto,70.81796%,25%,23C
27 02 23,12:14:59,sala,47%,38.40%,23.20C
27 02 23,12:14:59,cuarto,70.67036%,25%,23C
27 02 23,12:15:28,sala,47%,38.20%,23.20C
27 02 23,12:15:28,cuarto,70.52276%,25%,23C
27 02 23,12:15:35,sala,47%,38.10%,23.10C
27 02 23,12:15:35,cuarto,70.57195%,25%,23C
27 02 23,12:15:43,sala,47%,38.20%,23.20C
27 02 23,12:15:43,cuarto,70.67036%,26%,23C
27 02 23,12:15:50,sala,47%,38.20%,23.10C
27 02 23,12:15:50,cuarto,70.17835%,25%,23C
27 02 23,12:15:57,sala,47%,38.30%,23.20C
27 02 23,12:15:57,cuarto,70.57195%,24%,23C
27 02 23,12:16:05,sala,47%,38.20%,23.20C
27 02 23,12:16:05,cuarto,70.52276%,24%,23C
27 02 23,12:16:12,sala,47%,38.10%,23.20C
27 02 23,12:16:12,cuarto,70.96556%,23%,23C
27 02 23,12:16:19,sala,47%,38.00%,23.20C
27 02 23,12:16:19,cuarto,70.52276%,24%,23C
27 02 23,12:16:26,sala,47%,38.00%,23.20C
27 02 23,12:16:26,cuarto,70.91636%,24%,23C
27 02 23,12:16:34,sala,47%,37.90%,23.20C
27 02 23,12:16:34,cuarto,70.37515%,24%,23C
27 02 23,12:16:41,sala,47%,37.90%,23.20C
27 02 23,12:16:41,cuarto,70.76876%,24%,23C
27 02 23,12:16:55,sala,47%,37.90%,23.20C
27 02 23,12:16:55,cuarto,70.47356%,24%,23C
27 02 23,12:17:03,sala,47%,37.80%,23.20C
27 02 23,12:17:03,cuarto,70.47356%,23%,23C
27 02 23,12:17:10,sala,47%,38.00%,23.20C
27 02 23,12:17:10,cuarto,70.96556%,22%,23C
27 02 23,12:17:17,sala,47%,37.90%,23.20C
27 02 23,12:17:17,cuarto,70.32595%,22%,23C
27 02 23,12:17:25,sala,47%,37.90%,23.20C
27 02 23,12:17:25,cuarto,70.32595%,23%,23C
27 02 23,12:17:32,sala,47%,37.80%,23.20C
27 02 23,12:17:32,cuarto,70.22756%,23%,23C
27 02 23,12:17:39,sala,47%,37.70%,23.20C
27 02 23,12:17:39,cuarto,70.81796%,24%,23C
27 02 23,12:17:46,sala,47%,37.70%,23.20C
27 02 23,12:17:46,cuarto,70.47356%,24%,23C
27 02 23,12:17:54,sala,47%,37.90%,23.20C
27 02 23,12:17:54,cuarto,70.71956%,23%,23C
27 02 23,12:18:01,sala,47%,37.90%,23.20C
27 02 23,12:18:01,cuarto,70.71956%,23%,23C
27 02 23,12:18:08,sala,47%,37.80%,23.20C
27 02 23,12:18:08,cuarto,70.81796%,23%,23C
27 02 23,12:18:15,sala,47%,37.90%,23.20C
27 02 23,12:18:15,cuarto,70.27676%,22%,23C
27 02 23,12:18:23,sala,47%,37.90%,23.20C
27 02 23,12:18:23,cuarto,70.81796%,22%,23C
27 02 23,12:18:37,sala,47%,37.90%,23.20C
27 02 23,12:18:37,cuarto,70.27676%,23%,23C
27 02 23,12:18:45,sala,47%,37.80%,23.20C
27 02 23,12:18:45,cuarto,70.81796%,23%,23C
27 02 23,12:18:52,sala,47%,37.80%,23.20C
27 02 23,12:18:52,cuarto,70.67036%,24%,23C
27 02 23,12:18:59,sala,47%,37.70%,23.20C
27 02 23,12:18:59,cuarto,70.52276%,24%,23C
27 02 23,12:19:06,sala,47%,37.60%,23.20C
27 02 23,12:19:06,cuarto,70.81796%,24%,23C
27 02 23,12:19:14,sala,47%,37.60%,23.20C
27 02 23,12:19:14,cuarto,70.07995%,24%,23C
27 02 23,12:19:21,sala,47%,37.50%,23.20C
27 02 23,12:19:21,cuarto,70.81796%,24%,23C
27 02 23,12:19:28,sala,47%,37.40%,23.20C
27 02 23,12:19:28,cuarto,70.71956%,24%,23C
27 02 23,12:19:36,sala,47%,37.40%,23.20C
27 02 23,12:19:36,cuarto,70.81796%,24%,23C
27 02 23,12:19:43,sala,47%,37.50%,23.20C
27 02 23,12:19:43,cuarto,70.32595%,24%,23C
27 02 23,12:19:50,sala,47%,37.50%,23.20C
27 02 23,12:19:50,cuarto,70.47356%,23%,23C
27 02 23,12:19:57,sala,47%,37.50%,23.20C
27 02 23,12:19:57,cuarto,70.57195%,22%,23C
27 02 23,12:20:19,sala,47%,37.00%,23.20C
27 02 23,12:20:19,cuarto,70.37515%,21%,23C
27 02 23,12:20:26,sala,47%,37.00%,23.20C
27 02 23,12:20:26,cuarto,70.47356%,21%,23C
27 02 23,12:20:34,sala,47%,37.00%,23.20C
27 02 23,12:20:34,cuarto,70.81796%,21%,23C
27 02 23,12:20:41,sala,47%,37.10%,23.20C
27 02 23,12:20:41,cuarto,70.67036%,21%,23C
27 02 23,12:20:48,sala,47%,37.10%,23.20C
27 02 23,12:20:48,cuarto,70.52276%,21%,23C
27 02 23,12:20:56,sala,47%,37.20%,23.20C
27 02 23,12:20:56,cuarto,70.71956%,21%,23C
27 02 23,12:21:03,sala,47%,37.00%,23.20C
27 02 23,12:21:03,cuarto,70.81796%,21%,23C
27 02 23,12:21:10,sala,47%,37.10%,23.20C
27 02 23,12:21:10,cuarto,70.86716%,21%,23C
27 02 23,12:21:17,sala,47%,37.10%,23.20C
27 02 23,12:21:17,cuarto,70.37515%,21%,23C
27 02 23,12:21:25,sala,47%,37.10%,23.20C
27 02 23,12:21:25,cuarto,70.76876%,21%,23C
27 02 23,12:21:32,sala,47%,37.10%,23.20C
27 02 23,12:21:32,cuarto,70.37515%,22%,23C
27 02 23,12:21:39,sala,47%,37.10%,23.20C
27 02 23,12:21:39,cuarto,70.57195%,22%,23C
27 02 23,12:21:46,sala,47%,37.10%,23.20C
27 02 23,12:21:46,cuarto,70.81796%,23%,23C
27 02 23,12:21:54,sala,47%,37.10%,23.20C
27 02 23,12:21:54,cuarto,70.47356%,23%,23C
27 02 23,12:22:01,sala,47%,37.20%,23.20C
27 02 23,12:22:01,cuarto,70.22756%,23%,23C
27 02 23,12:22:08,sala,47%,37.30%,23.20C
27 02 23,12:22:08,cuarto,70.57195%,24%,23C
27 02 23,12:22:16,sala,47%,37.40%,23.20C
27 02 23,12:22:16,cuarto,70.32595%,24%,23C
27 02 23,12:22:23,sala,47%,37.40%,23.20C
27 02 23,12:22:23,cuarto,70.62116%,24%,23C
27 02 23,12:22:30,sala,47%,37.30%,23.20C
27 02 23,12:22:30,cuarto,70.57195%,24%,23C
27 02 23,12:22:37,sala,47%,37.30%,23.20C
27 02 23,12:22:37,cuarto,70.67036%,24%,23C
27 02 23,12:22:45,sala,47%,37.30%,23.20C
27 02 23,12:22:45,cuarto,70.67036%,24%,23C
27 02 23,12:22:52,sala,47%,37.40%,23.20C
27 02 23,12:22:52,cuarto,70.37515%,25%,23C
27 02 23,12:22:59,sala,47%,37.40%,23.20C
27 02 23,12:22:59,cuarto,70.27676%,24%,23C
27 02 23,12:23:06,sala,47%,37.40%,23.20C
27 02 23,12:23:06,cuarto,70.76876%,24%,23C
27 02 23,12:23:14,sala,47%,37.50%,23.20C
27 02 23,12:23:14,cuarto,70.27676%,24%,23C
27 02 23,12:23:21,sala,47%,37.50%,23.20C
27 02 23,12:23:21,cuarto,70.67036%,24%,23C
27 02 23,12:23:28,sala,47%,37.50%,23.20C
27 02 23,12:23:28,cuarto,70.86716%,24%,23C
27 02 23,12:23:36,sala,47%,37.50%,23.20C
27 02 23,12:23:36,cuarto,70.47356%,23%,23C
27 02 23,12:23:50,sala,47%,37.50%,23.20C
27 02 23,12:23:50,cuarto,70.07995%,20%,23C
27 02 23,12:23:57,sala,47%,37.50%,23.20C
27 02 23,12:23:57,cuarto,70.81796%,20%,23C
27 02 23,12:24:05,sala,47%,37.70%,23.20C
27 02 23,12:24:05,cuarto,70.57195%,20%,23C
27 02 23,12:24:12,sala,47%,37.60%,23.20C
27 02 23,12:24:12,cuarto,70.47356%,20%,23C
27 02 23,12:24:19,sala,47%,37.50%,23.20C
27 02 23,12:24:19,cuarto,69.88315%,21%,23C
27 02 23,12:24:26,sala,47%,37.40%,23.20C
27 02 23,12:24:26,cuarto,70.57195%,21%,23C
27 02 23,12:24:34,sala,47%,37.20%,23.20C
27 02 23,12:24:34,cuarto,70.67036%,22%,23C
27 02 23,12:24:41,sala,47%,37.20%,23.20C
27 02 23,12:24:41,cuarto,70.37515%,23%,23C
27 02 23,12:24:48,sala,47%,37.30%,23.20C
27 02 23,12:24:48,cuarto,70.52276%,23%,23C
27 02 23,12:24:56,sala,47%,37.30%,23.20C
27 02 23,12:24:56,cuarto,70.47356%,23%,23C
27 02 23,12:25:03,sala,47%,37.30%,23.20C
27 02 23,12:25:03,cuarto,70.47356%,23%,23C
27 02 23,12:25:39,sala,47%,37.10%,23.20C
27 02 23,12:25:39,cuarto,70.71956%,23%,23C
27 02 23,12:25:47,sala,47%,36.90%,23.20C
27 02 23,12:25:47,cuarto,70.22756%,22%,23C
27 02 23,12:25:54,sala,47%,36.80%,23.20C
27 02 23,12:25:54,cuarto,70.52276%,21%,23C
27 02 23,12:26:01,sala,47%,36.40%,23.20C
27 02 23,12:26:01,cuarto,70.52276%,21%,23C
27 02 23,12:26:08,sala,47%,36.20%,23.20C
27 02 23,12:26:08,cuarto,70.62116%,21%,23C
27 02 23,12:26:16,sala,47%,36.10%,23.20C
27 02 23,12:26:16,cuarto,70.81796%,22%,23C
27 02 23,12:26:23,sala,47%,35.90%,23.20C
27 02 23,12:26:23,cuarto,70.76876%,22%,23C
27 02 23,12:26:30,sala,47%,35.80%,23.20C
27 02 23,12:26:30,cuarto,70.57195%,22%,23C
27 02 23,12:26:37,sala,47%,35.80%,23.20C
27 02 23,12:26:37,cuarto,70.52276%,22%,23C
27 02 23,12:26:45,sala,47%,35.80%,23.20C
27 02 23,12:26:45,cuarto,70.67036%,22%,23C
27 02 23,12:26:52,sala,47%,35.70%,23.20C
27 02 23,12:26:52,cuarto,70.52276%,22%,23C
27 02 23,12:26:59,sala,47%,35.60%,23.20C
27 02 23,12:26:59,cuarto,70.62116%,22%,23C
27 02 23,12:27:07,sala,47%,35.60%,23.20C
27 02 23,12:27:07,cuarto,70.81796%,22%,23C
27 02 23,12:27:14,sala,47%,35.70%,23.30C
27 02 23,12:27:14,cuarto,70.52276%,22%,23C
27 02 23,12:27:21,sala,47%,35.50%,23.20C
27 02 23,12:27:21,cuarto,70.17835%,21%,23C
27 02 23,12:27:28,sala,47%,35.50%,23.20C
27 02 23,12:27:28,cuarto,70.67036%,21%,23C
27 02 23,12:27:36,sala,47%,35.50%,23.20C
27 02 23,12:27:36,cuarto,70.52276%,21%,23C
27 02 23,12:27:43,sala,47%,35.40%,23.20C
27 02 23,12:27:43,cuarto,70.81796%,21%,23C
27 02 23,12:27:50,sala,47%,35.50%,23.20C
27 02 23,12:27:50,cuarto,70.86716%,21%,23C
27 02 23,12:27:57,sala,47%,35.60%,23.20C
27 02 23,12:27:57,cuarto,70.81796%,21%,23C
27 02 23,12:28:05,sala,47%,35.60%,23.20C
27 02 23,12:28:05,cuarto,70.71956%,22%,23C
27 02 23,12:28:12,sala,47%,35.60%,23.20C
27 02 23,12:28:12,cuarto,70.12915%,22%,23C
27 02 23,12:28:19,sala,47%,35.60%,23.20C
27 02 23,12:28:19,cuarto,70.67036%,22%,23C
27 02 23,12:28:27,sala,47%,35.60%,23.20C
27 02 23,12:28:27,cuarto,70.81796%,22%,23C
27 02 23,12:28:34,sala,47%,35.60%,23.20C
27 02 23,12:28:34,cuarto,70.67036%,22%,23C
27 02 23,12:28:41,sala,47%,35.60%,23.20C
27 02 23,12:28:41,cuarto,70.67036%,22%,23C
27 02 23,12:28:48,sala,47%,35.60%,23.20C
27 02 23,12:28:48,cuarto,70.76876%,22%,23C
27 02 23,12:28:56,sala,47%,35.70%,23.20C
27 02 23,12:28:56,cuarto,70.67036%,22%,23C
27 02 23,12:29:03,sala,47%,35.80%,23.20C
27 02 23,12:29:03,cuarto,70.67036%,22%,23C
27 02 23,12:29:18,sala,47%,35.80%,23.20C
27 02 23,12:29:18,cuarto,70.47356%,23%,23C
27 02 23,12:29:25,sala,47%,35.90%,23.20C
27 02 23,12:29:25,cuarto,70.71956%,22%,23C
27 02 23,12:29:32,sala,47%,35.90%,23.20C
27 02 23,12:29:32,cuarto,70.57195%,22%,23C
27 02 23,12:29:39,sala,47%,35.90%,23.20C
27 02 23,12:29:39,cuarto,70.57195%,22%,23C
27 02 23,12:29:47,sala,47%,35.90%,23.20C
27 02 23,12:29:47,cuarto,70.47356%,22%,23C
27 02 23,12:29:54,sala,47%,35.90%,23.20C
27 02 23,12:29:54,cuarto,70.47356%,22%,23C
27 02 23,12:30:01,sala,47%,35.90%,23.20C
27 02 23,12:30:01,cuarto,70.81796%,22%,23C
27 02 23,12:30:23,sala,47%,36.00%,23.20C
27 02 23,12:30:23,cuarto,70.27676%,23%,23C
27 02 23,12:30:30,sala,47%,36.20%,23.30C
27 02 23,12:30:30,cuarto,70.67036%,23%,23C
27 02 23,12:30:38,sala,47%,36.10%,23.20C
27 02 23,12:30:38,cuarto,70.81796%,22%,23C
27 02 23,12:30:45,sala,47%,36.10%,23.20C
27 02 23,12:30:45,cuarto,70.27676%,21%,23C
27 02 23,12:30:52,sala,47%,36.00%,23.20C
27 02 23,12:30:52,cuarto,70.47356%,22%,23C
27 02 23,12:30:59,sala,47%,36.00%,23.20C
27 02 23,12:30:59,cuarto,70.86716%,22%,23C
27 02 23,12:31:07,sala,47%,36.00%,23.20C
27 02 23,12:31:07,cuarto,70.47356%,22%,23C
27 02 23,12:31:14,sala,47%,36.10%,23.20C
27 02 23,12:31:14,cuarto,70.96556%,22%,23C
27 02 23,12:31:21,sala,47%,36.00%,23.20C
27 02 23,12:31:21,cuarto,70.27676%,23%,23C
27 02 23,12:31:28,sala,47%,36.20%,23.30C
27 02 23,12:31:28,cuarto,70.32595%,23%,23C
27 02 23,12:31:36,sala,47%,36.20%,23.20C
27 02 23,12:31:36,cuarto,70.47356%,22%,23C
27 02 23,12:31:43,sala,47%,36.30%,23.30C
27 02 23,12:31:43,cuarto,70.71956%,21%,23C
27 02 23,12:31:50,sala,47%,36.30%,23.30C
27 02 23,12:31:50,cuarto,70.47356%,21%,23C
27 02 23,12:31:58,sala,47%,36.30%,23.30C
27 02 23,12:31:58,cuarto,70.57195%,21%,23C
27 02 23,12:32:05,sala,47%,36.10%,23.30C
27 02 23,12:32:05,cuarto,70.62116%,20%,23C
27 02 23,12:32:12,sala,47%,35.90%,23.30C
27 02 23,12:32:12,cuarto,70.86716%,20%,23C
27 02 23,12:32:19,sala,47%,36.10%,23.30C
27 02 23,12:32:19,cuarto,70.62116%,20%,23C
27 02 23,12:32:27,sala,47%,36.10%,23.30C
27 02 23,12:32:27,cuarto,70.32595%,20%,23C
27 02 23,12:32:34,sala,47%,36.00%,23.20C
27 02 23,12:32:34,cuarto,70.57195%,20%,23C
27 02 23,12:32:41,sala,47%,35.90%,23.30C
27 02 23,12:32:41,cuarto,70.37515%,20%,23C
27 02 23,12:32:48,sala,47%,35.80%,23.30C
27 02 23,12:32:48,cuarto,70.67036%,21%,23C
27 02 23,12:32:56,sala,47%,35.70%,23.30C
27 02 23,12:32:56,cuarto,70.62116%,21%,23C
27 02 23,12:33:03,sala,47%,35.70%,23.30C
27 02 23,12:33:03,cuarto,70.57195%,22%,23C
27 02 23,12:33:18,sala,47%,35.80%,23.30C
27 02 23,12:33:18,cuarto,70.67036%,23%,23C
27 02 23,12:33:25,sala,47%,35.90%,23.30C
27 02 23,12:33:25,cuarto,70.71956%,23%,23C
27 02 23,12:33:32,sala,47%,36.00%,23.30C
27 02 23,12:33:32,cuarto,70.37515%,22%,23C
27 02 23,12:33:39,sala,47%,36.10%,23.30C
27 02 23,12:33:39,cuarto,70.67036%,21%,23C
27 02 23,12:33:47,sala,47%,36.10%,23.30C
27 02 23,12:33:47,cuarto,70.47356%,21%,23C
27 02 23,12:33:54,sala,47%,36.20%,23.30C
27 02 23,12:33:54,cuarto,70.76876%,22%,23C
27 02 23,12:34:01,sala,47%,36.30%,23.30C
27 02 23,12:34:01,cuarto,70.67036%,22%,23C
27 02 23,12:34:09,sala,47%,36.40%,23.30C
27 02 23,12:34:09,cuarto,70.67036%,22%,23C
27 02 23,12:34:16,sala,47%,36.50%,23.30C
27 02 23,12:34:16,cuarto,70.67036%,23%,23C
27 02 23,12:34:23,sala,47%,36.50%,23.30C
27 02 23,12:34:23,cuarto,70.27676%,23%,23C
27 02 23,12:34:30,sala,47%,36.50%,23.30C
27 02 23,12:34:30,cuarto,70.67036%,23%,23C
27 02 23,12:34:38,sala,47%,36.70%,23.30C
27 02 23,12:34:38,cuarto,70.81796%,23%,23C
27 02 23,12:34:45,sala,47%,36.60%,23.30C
27 02 23,12:34:45,cuarto,70.57195%,24%,23C
27 02 23,12:34:52,sala,47%,36.60%,23.30C
27 02 23,12:34:52,cuarto,70.81796%,24%,23C
27 02 23,12:34:59,sala,47%,36.60%,23.30C
27 02 23,12:34:59,cuarto,70.67036%,24%,23C
27 02 23,12:35:29,sala,47%,36.80%,23.30C
27 02 23,12:35:29,cuarto,70.76876%,22%,23C
27 02 23,12:35:36,sala,47%,36.90%,23.30C
27 02 23,12:35:36,cuarto,70.76876%,22%,23C
27 02 23,12:35:43,sala,47%,36.90%,23.30C
27 02 23,12:35:43,cuarto,70.81796%,21%,23C
27 02 23,12:35:50,sala,47%,37.00%,23.30C
27 02 23,12:35:50,cuarto,70.47356%,21%,23C
27 02 23,12:35:58,sala,47%,37.00%,23.30C
27 02 23,12:35:58,cuarto,70.57195%,21%,23C
27 02 23,12:36:05,sala,47%,37.00%,23.40C
27 02 23,12:36:05,cuarto,70.52276%,22%,23C
27 02 23,12:36:12,sala,47%,36.90%,23.30C
27 02 23,12:36:12,cuarto,70.17835%,23%,23C
27 02 23,12:36:19,sala,47%,36.90%,23.40C
27 02 23,12:36:19,cuarto,70.67036%,23%,23C
27 02 23,12:36:27,sala,47%,36.90%,23.30C
27 02 23,12:36:27,cuarto,70.12915%,24%,23C
27 02 23,12:36:34,sala,47%,37.00%,23.40C
27 02 23,12:36:34,cuarto,70.52276%,24%,23C
27 02 23,12:36:41,sala,47%,37.00%,23.30C
27 02 23,12:36:41,cuarto,70.37515%,23%,23C
27 02 23,12:36:49,sala,47%,37.00%,23.30C
27 02 23,12:36:49,cuarto,70.37515%,23%,24C
27 02 23,12:36:56,sala,47%,37.00%,23.30C
27 02 23,12:36:56,cuarto,70.47356%,23%,23C
27 02 23,12:37:03,sala,47%,37.10%,23.30C
27 02 23,12:37:03,cuarto,70.71956%,24%,23C
27 02 23,12:37:18,sala,47%,37.10%,23.30C
27 02 23,12:37:18,cuarto,70.81796%,23%,24C
